question_id,question_id_individual,question_individual,token_count
e9a21d9e-b61f-4dbe-b5da-9e91a268dc72,e9a21d9e-b61f-4dbe-b5da-9e91a268dc72__C,Seid ihr offen für andere Genres oder fixiert ihr euch nur auf eine ?,13
dbee01bb-55d0-4faa-9450-1ea52338a534,dbee01bb-55d0-4faa-9450-1ea52338a534__A,Sind eure Katzen Freigänger oder Hauskatzen ?,6
d81448f2-7784-4a62-8de4-3e69bed7bade,d81448f2-7784-4a62-8de4-3e69bed7bade__A,Singst Du zu einem Playback oder gibt es Live-Musik ?,8
56ba27e8-1e60-40f1-87ae-d18ec8f2239d,56ba27e8-1e60-40f1-87ae-d18ec8f2239d__A,Steht ihr eher auf der Linken oder Rechten seite ?,9
4f54fc5b-9e96-488d-abeb-99361233766c,4f54fc5b-9e96-488d-abeb-99361233766c__A,"Supplementiert ihr im Winter Vitamin D3 , oder meint ihr euer Speicher wird reichen , um zu überwintern ?",15
82126a27-c45c-4408-8ddd-1fb088dd24c9,82126a27-c45c-4408-8ddd-1fb088dd24c9__A,Umfrage - Geht ihr zur Schule oder zur Arbeit ?,8
b2b257ae-3e48-4e8f-aa50-8a3619b8d8b2,b2b257ae-3e48-4e8f-aa50-8a3619b8d8b2__A,"Umfrage - Sind eure Träume meistens schön oder eher Träume , die man nicht in echt erleben will ?",16
dac6acf6-f9b9-458b-b85f-6bbde825e605,dac6acf6-f9b9-458b-b85f-6bbde825e605__A,Umfrage - Welche Speisen schmecken euch am meisten ?,7
e7e9899a-61d2-4ca1-b0d7-7382ebb106be,e7e9899a-61d2-4ca1-b0d7-7382ebb106be__A,Umfrage Was würde euch bei der Bundeswehr am meisten reizen - wenn es eine Wehrpflicht gäbe ?,15
b8831662-fae2-453d-9bed-168810bcb226,b8831662-fae2-453d-9bed-168810bcb226__A,Vertraut ihr unseren Medien oder meint ihr das ist alles nach Plan dort um uns zu Manipulieren ?,17
28744ac8-0d8b-48ad-877c-7f771b76d01b,28744ac8-0d8b-48ad-877c-7f771b76d01b__A,Verwendet ihr lieber Tablet oder Notebook für Unterhaltungszwecke ?,8
0ef11f63-90dd-438b-8b10-e2aae05c5c48,0ef11f63-90dd-438b-8b10-e2aae05c5c48__A,Wärst du lieber ein ( großer ) Hund oder eine Katze ?,9
49dd2b33-4913-4133-ad93-0204065cf552,49dd2b33-4913-4133-ad93-0204065cf552__B,"Was klingt für euch mehr , 4 Wochen oder ein Monat ?",10
e16e4146-acec-4310-8ba6-b9908417ce96,e16e4146-acec-4310-8ba6-b9908417ce96__A,Was Schmeckt euch besser Chicken Nuggets oder Chicken wings ?,9
6ee82262-4dd6-43e1-a59d-8bd38dfe7771,6ee82262-4dd6-43e1-a59d-8bd38dfe7771__A,Was würde Dir persönlich mehr Spaß machen . . . der gute alte Drachen oder eine Drohne ?,14
ce788b74-c952-4d28-b081-c70347c9bc33,ce788b74-c952-4d28-b081-c70347c9bc33__A,"Welche Farbe gefällt dir besser , Blau oder Braun ?",8
80530f90-27cd-4478-bca7-6ed5dee7356b,80530f90-27cd-4478-bca7-6ed5dee7356b__A,"Welche Fußballliga ist in Deutschland für euch die spannendste Liga oder die , mit der ihr euch am meisten identifiziert ?",19
c23163e5-cbd4-430d-a9d0-dd59f107cd0a,c23163e5-cbd4-430d-a9d0-dd59f107cd0a__A,Welche junge Sängerin hat für euch die schönste Stimme ?,9
4fee2546-79e6-43a1-b273-9ef046a1c18a,4fee2546-79e6-43a1-b273-9ef046a1c18a__A,Welche/n Sportler/in hälst du für attraktivste/n in gesamten Sportbranche ?,12
98cef461-4781-4ed1-8e4c-f5baf1caca85,98cef461-4781-4ed1-8e4c-f5baf1caca85__A,Welcher dieser Häuser gefällt euch am ehesten ?,7
0952945a-04dc-4d8e-b7a1-f55e44bc2ac6,0952945a-04dc-4d8e-b7a1-f55e44bc2ac6__A,Welcher dieser Männer-Namen mit W gefällt euch am besten ?,8
497234a3-5e02-48c3-8bd1-2deca36c2409,497234a3-5e02-48c3-8bd1-2deca36c2409__A,"Welcher dieser Schauspielerinnen ist für euch die beste Schauspielerin ( von der fachlichen Qualität her , überzeugt in unterschiedlichen Rollen am meisten ) ?",20
c11b6f12-d09c-47e2-9c95-4abc4c72f64c,c11b6f12-d09c-47e2-9c95-4abc4c72f64c__A,Welches Computerspiel machte euch zu Gamer*innen ?,5
65576147-8ab1-4e37-80da-6ec9b6f0741c,65576147-8ab1-4e37-80da-6ec9b6f0741c__A,Welches Eurovision-Song-Contest-Lied der letzten Jahre hat Euch am besten gefallen ?,9
dca74f86-7362-4535-ab1a-8b2c0ab63a20,dca74f86-7362-4535-ab1a-8b2c0ab63a20__A,Wen mögt ihr mehr Bayern oder Dortmund ?,7
dcd736d1-9a1f-4a4b-a0b0-be00420c57c3,dcd736d1-9a1f-4a4b-a0b0-be00420c57c3__A,Wenn du dich entscheiden müsstest Wärst du lieber erfolgreich oder gesund ?,11
1ff504b7-6b50-4217-b47e-5a26d8c36d16,1ff504b7-6b50-4217-b47e-5a26d8c36d16__B,"Wenn ihr jetzt eine Arbeit über die Virtual Reality schreiben würdet , was wäre für euch an der VR am interessantesten ?",20
98608724-2ecb-43ee-92d8-ae71f1a84b28,98608724-2ecb-43ee-92d8-ae71f1a84b28__A,Werdet Ihr diesen Winter auch Obdachlosen helfen grade in Krisenzeiten oder seid ihr keine guten Menschen ?,16
ebb85408-74ef-4cee-bd7d-14a54d2ab7a5,ebb85408-74ef-4cee-bd7d-14a54d2ab7a5__A,Werdet ihr wegen Anime gemobbt oder gefeiert oder nichts ?,9
4a3956e0-84d7-4b98-8e99-da27a5d4f6cc,4a3956e0-84d7-4b98-8e99-da27a5d4f6cc__A,Würdest du eher Hunger oder Hass beenden ?,7
e7a7c0ab-53f7-4717-a5e9-4c0a4e82d7d3,e7a7c0ab-53f7-4717-a5e9-4c0a4e82d7d3__A,"Würdest Du eine Beziehung zu einem Bestatter oder jemandem , der Leichen wäscht oder seziert eingehen ?",15
391bb8c4-78dd-43de-8bdd-019482eb1154,391bb8c4-78dd-43de-8bdd-019482eb1154__B,Würdet ihr euch mehr ärgern wenn es ein kleiner Fehler oder wenn es ein großer Fehler wäre ?,17
c3b53f19-8d6f-4528-99c6-6b0511f1af20,c3b53f19-8d6f-4528-99c6-6b0511f1af20__A,Würdet ihr lieber einmalig 300 bekommen oder 1 monatlich für den Rest eures Lebens ?,14
b2f78035-a77f-46b3-9cf9-780969b3840b,b2f78035-a77f-46b3-9cf9-780969b3840b__A,"Würdet ihr lieber viel zu große Ohren , oder eine viel zu große Nase haben ?",14
59fe40d9-47ba-4318-a3cb-fbe2b9ed7c7e,59fe40d9-47ba-4318-a3cb-fbe2b9ed7c7e__F,"Würdet ihr schlussmachen und ausziehen auf die Gefahr hin alleine zu sein und nicht zu wissen , ob man klarkommt ?",19
8375d891-4596-4644-9e4e-fb80dcb76df1,8375d891-4596-4644-9e4e-fb80dcb76df1__B,"Kann ich den einfach so vom Pc abziehen , oder muss ich den wie eine Festplatte noch vorher irgendwie auswerfen ?",19
1e9174b8-4e43-40bc-b14b-86900ea0c8ea,1e9174b8-4e43-40bc-b14b-86900ea0c8ea__C,kann ich den verbrauch durch eine andere app regulieren oder muss ich die yb app löschen ?,16
d9ee322d-d044-4687-9c9a-2366fd32a61c,d9ee322d-d044-4687-9c9a-2366fd32a61c__B,Kann ich die Tasten irgendwie neu belegen oder neue Shortcuts für das Zurückspulen einfügen ?,14
64020f53-1355-44ff-8e0a-fea4b23d0b94,64020f53-1355-44ff-8e0a-fea4b23d0b94__C,Muss hierfür nur eine Kurve gezeichnet werden oder einzeln eine Gerade für die Kosten und eine Kurve für die Erlöse ?,20
70b59e90-d3a0-4347-828b-575bec95f6c1,70b59e90-d3a0-4347-828b-575bec95f6c1__B,Muss ich irgendwas in den Einstellungen umstellen oder ist das wirklich einfach nur der Seitenwind ?,15
212e155a-b88f-449b-b43d-1b21ee8432fe,212e155a-b88f-449b-b43d-1b21ee8432fe__B,"Muss man auf das Gaspedal leicht treten , damit man erstmal anfahren kann oder voll reintreten ?",15
c0242142-7206-4e79-8b65-9da7b7ab4687,c0242142-7206-4e79-8b65-9da7b7ab4687__B,"Soll ich nun nochmal eine Gipsplatte anbringen , oder kann ich mir das sparen ?",13
6bc0bcd1-7d76-4ca0-bf90-715fd16452e7,6bc0bcd1-7d76-4ca0-bf90-715fd16452e7__C,Werden die Daten dann normal weiter gespeichert oder lässt sich dann nichts mehr darauf speichern ?,15
fb599298-db83-4a9c-99b6-1b3341074e5b,fb599298-db83-4a9c-99b6-1b3341074e5b__B,Zählt man wie bei Variante 1 oder wie bei 2 oder vielleicht ganz anders ?,14
c093c6ad-b89e-4c2e-8f4d-a31aadb5f720,c093c6ad-b89e-4c2e-8f4d-a31aadb5f720__B,Bekommen die das Kurzhaarfell des Papas oder wie das der mama ?,11
ce7dfe38-5009-4a9b-ad08-2b356804e98e,ce7dfe38-5009-4a9b-ad08-2b356804e98e__B,Bildet sich das wieder zurück oder bleiben meine Brüste so groß ?,11
34385290-015b-40a0-bd0c-0fadfd5a9440,34385290-015b-40a0-bd0c-0fadfd5a9440__C,Bin übrigens ungeimpft wird das bald vorübergehen oder kommen die richtigen Symptome erst noch ?,14
9b7ffb37-9a38-4d3b-839d-ffd05b28f781,9b7ffb37-9a38-4d3b-839d-ffd05b28f781__B,"Falls das rauskommen sollte , wird es dann jährlich gelten oder wieder nur für 3 Monate ?",15
ec1cb8b5-82c1-47b6-bd3b-1539cdc3b528,ec1cb8b5-82c1-47b6-bd3b-1539cdc3b528__C,Habe ich dann in der Zeit dazwischen eine Pause oder arbeite ich ab jetzt dann durch ?,16
431333cc-4299-4d93-a2b9-0bfa07ad2621,431333cc-4299-4d93-a2b9-0bfa07ad2621__B,ich möchte nur eins wissen wird dort auf drogen getestet oder eher nicht ?,13
6c2c885c-10ed-41fc-9e59-b55b80cf9ff0,6c2c885c-10ed-41fc-9e59-b55b80cf9ff0__B,Sind die Daten dann weg oder kann ich die dann vom Xs wieder aufs SE übertragen ?,16
6e4d8ac5-e1f2-4fc0-93dd-0087a8dd5d80,6e4d8ac5-e1f2-4fc0-93dd-0087a8dd5d80__A,wird 9 Ticket für längere Zeit da sein oder nur 3 Monate ?,12
9a9a18ab-7fbd-425a-8d43-11f9cec285cf,9a9a18ab-7fbd-425a-8d43-11f9cec285cf__B,wird das ganze nur als ungenügend gewertet oder werde ich von Unterricht ausgeschlossen und erhalte so kein Bafög mehr ?,19
94306264-212c-499a-a6f4-fd954b641b33,94306264-212c-499a-a6f4-fd954b641b33__D,Wird sie verrotten und von alleine verschwinden oder bleibt sie da für immer ?,13
150ca781-08c6-4bd5-a708-d7b74848cbf3,150ca781-08c6-4bd5-a708-d7b74848cbf3__B,Also habt ihr da irgendwie alles falsch gemacht oder konntet ihr das gut ?,13
1e2e3aeb-ff90-49f9-a9f5-393960837a34,1e2e3aeb-ff90-49f9-a9f5-393960837a34__B,Habt ihr damals viel Selbststudium ( selbständiges lernen ) betrieben oder wurde euch viel beigebracht ?,13
1f5e36b8-b76e-4750-a9c9-42a662ed363c,1f5e36b8-b76e-4750-a9c9-42a662ed363c__C,Macht es Spaß dort zu arbeiten oder ist es sehr stressig ?,11
da49c4d8-c297-445b-9155-a66ab403c095,da49c4d8-c297-445b-9155-a66ab403c095__B,"Sucht sich der Prüfer oft das Thema raus , was ganz am Anfang steht oder spielt das keine Rolle ?",18
f0410095-58c9-4636-aa34-e7669af82921,f0410095-58c9-4636-aa34-e7669af82921__D,Waren die innerhalb von einigen Sekunden ausverkauft oder hatte man schon eine Minute oder länger Zeit um eine zu bekommen ?,20
25abd2b0-0c38-45a6-aff2-2e0cad31f6e3,25abd2b0-0c38-45a6-aff2-2e0cad31f6e3__A,Ist das Augenherpes oder ein Pickel ich hab sehr Angst da im Internet stand dass Augenherpes zu Blindheit führt ?,19
febee21f-8e29-417b-a253-ca90affd6046,febee21f-8e29-417b-a253-ca90affd6046__B,Kann ich die 5 mit der 3 ausgleichen oder benötige ich noch eine 3 ?,14
582c2c1d-82f2-4641-9798-53aa7eae256f,582c2c1d-82f2-4641-9798-53aa7eae256f__B,"Lange gesucht , aber nichts gefunden . . . Hält sich genannter Wirkstoff eher im Kopf oder im Stiel auf ?",16
3290592c-0a8c-43b9-b092-9a2b54e9bf54,3290592c-0a8c-43b9-b092-9a2b54e9bf54__B,Was ist da der Unterschied ?,5
e99feec9-e30b-4be7-a784-b07eed4ef181,e99feec9-e30b-4be7-a784-b07eed4ef181__A,Wie schmeckt Rinderbrust ( im Vergleich zu Rumsteak oder Filet ) ?,9
2dd57540-f1a4-4b83-b747-e75f6620b10e,2dd57540-f1a4-4b83-b747-e75f6620b10e__A,Wie teuer ist Chicago im Vergleich zu diesen Städten ?,9
8f4c96fb-b618-4b72-bdd7-9bbf5854a6cf,8f4c96fb-b618-4b72-bdd7-9bbf5854a6cf__C,Bedeutet die Blutung jetzt ich war die ganze Zeit nicht geschützt oder ist das eine Nebenwirkung der zweifachen doppelten Einnahme ?,20
e436c434-c6d0-475f-8493-756b398f1089,e436c434-c6d0-475f-8493-756b398f1089__B,Die Frage Ist das ein Symptom von Flugangst oder hatte er andere psychische Probleme ?,14
11eae07d-a918-4bf0-aa4f-bb76ef3c0b65,11eae07d-a918-4bf0-aa4f-bb76ef3c0b65__B,"Versteht man unter Mitarbeiterinnen-und-Mitarbeitergruppe , dass beide Geschlechter in einer Gruppe inbegriffen sind oder doch lieber Mitarbeiterinnen-und-Mitarbeiter-Gruppe ?",14
6f094850-5139-450d-842c-b53e9ca87c6a,6f094850-5139-450d-842c-b53e9ca87c6a__A,"Wie heißt es richtig Arztbericht der Untersuchung , Arztbericht zur Untersuchung , Arztbericht über ?",12
bfacb26a-b979-4861-aa08-5a797885f522,bfacb26a-b979-4861-aa08-5a797885f522__B,( Ich bin in der 8ten Klasse ) Ist das normal oder zu viel ?,11
1f6dc5bd-e6bc-448b-9916-ff3cac98226e,1f6dc5bd-e6bc-448b-9916-ff3cac98226e__B,abgesehen vom preis ich besitze beide handys aber was ist das bessere ?,12
d2e8dba0-1df2-4224-9494-79a6b31da548,d2e8dba0-1df2-4224-9494-79a6b31da548__B,"Akzeptieren es Banken , wenn ich meine eigengenutzte Immobilie als Sicherheit anbiete oder ist die Summe dafür zu gering ?",18
7d258398-8ae5-4bf3-b9f8-9d700f2ec33d,7d258398-8ae5-4bf3-b9f8-9d700f2ec33d__B,"Als ich das Paket geöffnet habe , war ein Brett so komisch schwarz ( siehe Bild ) ist das normal oder ein Fehler ?",20
7a4f8955-f07f-405c-8fd7-7bc839284467,7a4f8955-f07f-405c-8fd7-7bc839284467__C,Also gildet man als entjungfert oder noch nicht ?,8
24996c81-f2d5-4445-918a-395d4a742e6b,24996c81-f2d5-4445-918a-395d4a742e6b__C,Also hat das schon so eine ähnliche Wirkung wie testo aus der Apotheke oder passiert da gar nichts ?,18
e5d141dc-57a8-4f1c-b969-fef38973bfa7,e5d141dc-57a8-4f1c-b969-fef38973bfa7__B,Also so wie auf dem Bild muss man da extra zum Friseur oder kann man das auch selbst machen ?,19
25e4e96a-a513-4e2c-bdc5-861dea71f42f,25e4e96a-a513-4e2c-bdc5-861dea71f42f__B,Also was glaubt ihr habe ich Corona oder ist es nur Grippe ?,12
ee20e805-a67f-45dd-98ed-d9852139cc33,ee20e805-a67f-45dd-98ed-d9852139cc33__B,An die Männer Lieber eine schlanke Frau mit wenig Oberseite und Po oder lieber etwas mehr ?,16
dd895503-b876-476a-a4a2-36074b2fa6b9,dd895503-b876-476a-a4a2-36074b2fa6b9__C,benutzen sie es wirklich nur um eine Sicherheit zu haben oder stellen sie was mit denen an ?,17
1aeb3220-3f63-4b52-9275-3865c026129e,1aeb3220-3f63-4b52-9275-3865c026129e__B,"Besteht die Gefahr , dass das Handy dann bei Nutzung entflammen kann , oder macht so eine kleine Biegung nichts aus ?",19
30e00f04-bc30-4dd5-9a53-295eea4a4d52,30e00f04-bc30-4dd5-9a53-295eea4a4d52__A,"Bevorzugt ihr eine 40 Jährige , die aussieht wie 30 oder eine 30 Jährige , die aussieht wie 36 ?",17
86a17585-02ad-471b-af4b-7f60b1c46e0b,86a17585-02ad-471b-af4b-7f60b1c46e0b__B,Brauche ich da einen BH oder Bustier ?,7
d2748c02-faac-434f-abbc-da1ddbc18529,d2748c02-faac-434f-abbc-da1ddbc18529__B,Braucht man da wirklich einen Handwerker oder kann man das auch einfach selbst machen machen ?,15
b42153a9-fe5c-40fe-8706-2125ad66349c,b42153a9-fe5c-40fe-8706-2125ad66349c__D,Darf man bei der Seite wirklich seine Meinung frei äußern oder ist das nur ein Lippenbekenntnis ?,16
aea1e508-facb-4af5-be0a-46cf3276fab1,aea1e508-facb-4af5-be0a-46cf3276fab1__B,Das bin ich mit c . a 85kg Findet ihr das hübsch oder zu dünn oder zu dick ?,18
6cd8d96a-16aa-4e31-bdde-87493a40e5ae,6cd8d96a-16aa-4e31-bdde-87493a40e5ae__B,Denkt ihr es bringt etwas ein bisschen WD-40 hineinzuspritzen oder könnte ich dadurch die Elektronik beschädigen ?,15
16073a1c-5b69-42fc-b4ce-be24335c81db,16073a1c-5b69-42fc-b4ce-be24335c81db__D,Denkt ihr so kann GTA VI aussehen oder sind das nur Fake Leaks ?,13
ddd48bc9-7b0d-4ec5-8bb9-1b32d21ceebf,ddd48bc9-7b0d-4ec5-8bb9-1b32d21ceebf__B,"Doch was ich mich frage ist Hat Soja-Milch irgendeinen Vorteil gegenüber normaler Milch , oder ist das mehr sowas für Veganer ?",19
f48cd513-42ac-4063-96e2-e115957d269a,f48cd513-42ac-4063-96e2-e115957d269a__A,Finden Frauen eine Gesichtsbesamung sexy oder unsexy ?,7
0af81d50-bc71-4a7d-9dd3-7926b3b41e5e,0af81d50-bc71-4a7d-9dd3-7926b3b41e5e__B,Findet ihr das normal oder denkt ihr ich bin zu alt dafür ?,12
bae1cf4d-da58-4265-b3ba-befb71c7ce6c,bae1cf4d-da58-4265-b3ba-befb71c7ce6c__B,Findet ihr es in deutsch oder Englisch schöner ?,8
a4b9fa9c-39e5-4ad7-ac7a-0724649dd667,a4b9fa9c-39e5-4ad7-ac7a-0724649dd667__B,Findet ihr es ok wenn man mehrere Marken mischt oder is das eher blöd ?,14
758d4d39-667e-4fb5-99bf-f3dfbac3418e,758d4d39-667e-4fb5-99bf-f3dfbac3418e__B,Findet ihr Köln oder Berlin schöner oder beides ?,8
7ac0be33-0954-4ea9-873f-3a8439a07f74,7ac0be33-0954-4ea9-873f-3a8439a07f74__A,Findet ihr Lena Meyer-Landrut mit kurzen oder langen Haaren hübscher ?,9
b5327f86-71db-4bc8-901b-25b6125ae13a,b5327f86-71db-4bc8-901b-25b6125ae13a__B,"Folgende Frage , soll diese Anzeige hier dazu dienen mich zum Kauf zu überzeugen oder sind das ernst zunehmende Probleme ?",19
bf02abde-1749-4d27-8138-088a9175e187,bf02abde-1749-4d27-8138-088a9175e187__B,Frage an die Männer sind Lange Haare oder kurze Haare ( bis zur Schulter ) attraktiv ?,14
a5a1944a-9b89-4227-97f5-2a89a1fd2be2,a5a1944a-9b89-4227-97f5-2a89a1fd2be2__D,Führt das die Kinder schon an das Geld heran oder ist es nur Taschengeld ?,14
83fb629d-00fa-4562-9017-16ff4164a7ed,83fb629d-00fa-4562-9017-16ff4164a7ed__D,"Geht das dem Staat / der Gesellschaft was an , oder geht das niemandem was an ?",14
42357d73-90f1-465f-b79f-0dce8d00614c,42357d73-90f1-465f-b79f-0dce8d00614c__B,Glaubt ihr dass da was ist oder ist es nur harmlos ?,11
80bcc629-b518-4283-96fe-b2e073e42ef6,80bcc629-b518-4283-96fe-b2e073e42ef6__B,Guten tag Was findet ihr besser eine feste Beziehung erst bei Liebe anfangen oder gegen das allein sein ?,18
5ba49399-c645-4930-a4b4-c7c61bfa0020,5ba49399-c645-4930-a4b4-c7c61bfa0020__B,Habe ich ein kaputtes Produkt bekommen oder ist das Mikrofon einfach so schlecht ?,13
c7b18bc0-c9c5-4d49-b799-b0ca0badf268,c7b18bc0-c9c5-4d49-b799-b0ca0badf268__B,"habe ich Haarausfall oder sieht es nur so aus da ich sehr feine Haare , die gerade auch sehr fettig sind ?",20
ff53804a-e763-4124-8436-dc633d8f7881,ff53804a-e763-4124-8436-dc633d8f7881__B,Habe ich irgendwas falsch gemacht oder is meiner einfach nur zu groß ?,12
8f3008df-7f68-4c47-a90d-969342cab35e,8f3008df-7f68-4c47-a90d-969342cab35e__B,Haben die in der deutschen Fassung sich da versungen oder konnten die sich nicht entscheiden ?,15
dc358a6c-6fc3-49e1-966b-f17e240a9507,dc358a6c-6fc3-49e1-966b-f17e240a9507__E,Haben die kein Biounterricht gehabt oder waren die immer Kreide holen ?,11
46e95cc3-9eea-4337-8d57-a56606f6182b,46e95cc3-9eea-4337-8d57-a56606f6182b__B,"Hallo , könnt Ihr Euch bitte einmal kurz folgende 3 Waschmaschinen ansehen Welche davon findet ihr am besten ?",17
4af95a58-eade-47fd-b89d-4fb809e1bc38,4af95a58-eade-47fd-b89d-4fb809e1bc38__B,"Hallo , Passt eher die Farbe schwarz oder weiß ( als oberteil ) zu einem roten Rock mit einer hellen Strumpfhose ?",18
bd37585d-192c-4ade-a284-9d79aa805349,bd37585d-192c-4ade-a284-9d79aa805349__A,Haltet ihr sowas wie eine Schattenregierung für unrealistisch oder könnte so eine Regierung existieren ?,14
d0334e2c-322d-4d3f-b3ab-85e3410d3821,d0334e2c-322d-4d3f-b3ab-85e3410d3821__E,Hat meine Ärztin recht oder wollte Sie mich wohl einfach loswerden ?,11
beb7e6e6-7442-4793-819b-46dd213f337c,beb7e6e6-7442-4793-819b-46dd213f337c__B,Hätte das wiedervereinte Deutschland lieber die Nationalhymne der ehemaligen DDR oder der BRD übernehmen Sollen ?,15
ac059210-8b65-4398-91df-d2c3c0be007d,ac059210-8b65-4398-91df-d2c3c0be007d__B,"Hätte ich eine Freundin , hätte sie dann etwas dagegen oder wäre es ihr egal ?",14
4733d622-2145-4120-b51c-98c026475179,4733d622-2145-4120-b51c-98c026475179__C,Hätte ich schreiben sollen als sie zu Hause war oder hätte sie schreiben sollen als sie zu Hause war ?,19
07ba1a4b-8587-41b8-84b6-bd5c4157d440,07ba1a4b-8587-41b8-84b6-bd5c4157d440__A,Hätte Naruto eine Chance gegen Luffy oder Koro Sensei oder Son Goku oder Saitama ?,14
2eb95135-812a-46ed-888d-1899806c0e7b,2eb95135-812a-46ed-888d-1899806c0e7b__B,"Hey , ist da überhaupt menschlich gesehen ein Unterschied feststellbar vom Verbrauch und Leistung oder ist das viel Marketing ?",18
600155ff-8e68-4dbe-b7e1-cd16794de5ef,600155ff-8e68-4dbe-b7e1-cd16794de5ef__B,"Hi , meine Schwester ist 12 und hat schon einen Freund , ist das okay oder zu früh ?",16
52669876-93a5-4403-870c-d0fd489ab923,52669876-93a5-4403-870c-d0fd489ab923__A,HSV gegen HBSC - wer hat die besseren Chancen ?,8
6f958f2d-4f7c-4754-a8f9-665c6eb6febf,6f958f2d-4f7c-4754-a8f9-665c6eb6febf__B,Ich bin 14 Findet ihr das richtig oder übertrieben ?,9
